text	label
John needs $2.50.	require
He has $0.75.	possess
How much more money does he need?	addition
A swimmer is in a 100 meter race.	state_fact
She swims the first half of the race in 32.34 seconds and the last half of the race in 34.83 seconds.	motion
How long did it take her to swim the whole race?	transfer_goods_positive
Jane buys an apple for $0.75 and pays with a $5.00 bill.	transfer_money
How much change will she get?	getting
John walks 0.7 miles to school and nina walks 0.4 miles to school.	motion
How much farther does john walk than nina?	motion
One pencil weighs 28.3 grams.	state_fact
How much do 5 pencils weigh?	state_fact
Tessa has 4 apples.	possess
Anita gave her 5 more.	transfer_goods_negative
She needs 10 apples to make a pie.	require
Does she have enough to make a pie?	possess
Julia played tag with 12 kids on monday.	state_fact
She played tag with 7 kids on tuesday.	state_fact
How many kids did she play with altogether?	total
Molly had 14 candles on her birthday cake.	possess
She grew older and got 6 more on her birthday cake.	create
How old is molly now?	state_fact
James ate 22 carrot sticks before dinner and 15 more after dinner.	use_resource
How many carrot sticks did he eat?	use_resource
Charles found 6 pennies on his way to school.	getting
He also had 3 nickels already at home.	possess
How much money does he now have in all?	possess
Lucy went to the grocery store.	motion
She bought 12 packs of cookies and 16 packs of noodles.	transfer_money
How many packs of groceries did she buy in all?	aggregate
Roden went to a pet shop.	motion
He bought 15 gold fish and 7 blue fish.	transfer_money
How many fish did he buy?	transfer_money
I read 21 pages of my english book yesterday.	state_fact
Today, i read 17 pages.	state_fact
What is the total number of pages did i read?	state_fact
In a school, there are 542 girls and 387 boys.	existence
How many pupils are there in that school?	existence
Linda has 34 candies.	possess
Chloe has 28.	possess
How many candies do they have in all?	possess
Kate gave the clerk $1.00.	transfer_goods_negative
Her candy cost 54 cents.	state_fact
How much change should kate get back?	getting
Mark has 13 trees in his backyard.	possess
If he plants 12 more, how many trees will he have?	addition
Joy will see her grandma in two days.	state_fact
How many hours until she sees her?	state_fact
Kim has 4 cousins.	possess
She wants to give each one 5 pieces of gum.	transfer_goods_negative
How much gum will she need?	require
Dan has $3.00.	possess
He bought a candy bar for $1.00.	transfer_money
How much money is left?	existence
5 boats are in the lake.	state_fact
Each boat has 3 people.	duplication
How many people are on boats in the lake?	state_fact
Mrs. hilt measured her bookcase.	state_fact
It was 48 inches long.	state_fact
How many feet long was the bookcase?	state_fact
Mrs. hilt bought a notebook for $1.30.	transfer_money
She paid with nickels.	state_fact
How many nickels did she use to buy the notebook?	use_resource
Mrs. hilt saw a rollercoaster.	state_fact
Seven students rode the rollercoaster every 5 minutes.	duplication
How many students rode the rollercoaster in 15 minutes?	state_fact
Mrs. hilt saw 144 bees in the hive.	state_fact
The next day she saw 3 times that many.	duplication
How many bees did she see on the second day?	state_fact
Mrs. hilt measured the distance from her desk to the water fountain.	state_fact
It was 30 feet.	state_fact
How many feet will mrs. hilt walk on her trips to the fountain if she goes to the water fountain four times today?	motion
Jorge scored 156 goals playing soccer last season.	state_fact
This season he scored 187 goals.	state_fact
What is the total number of goals jorge scored?	state_fact
Ceasar needs to read a 563 page book for school.	require
He has already read 147 pages.	possess
How many pages does he have left to read?	possess
Wesley made 89 baskets on sunday.	state_fact
He made 157 baskets on monday.	state_fact
How many baskets did he make in all?	create
Omar and karen made egg rolls to share at the school potluck.	use_resource
Omar rolled 219 egg rolls.	state_fact
Karen rolled 229 egg rolls.	state_fact
What is the total number of egg rolls omar and karen rolled?	state_fact
Meredith picked 347 apples.	choose
Phil ate 198 of the apples.	use_resource
How many apples are left?	existence
Beka flew 873 miles to visit her aunt.	state_fact
Jackson flew 563 miles to visit his aunt.	state_fact
How many more miles did beka fly than jackson?	addition
Darius drove 679 miles to visit his grandmother.	state_fact
Julia drove 998 miles to visit her grandmother.	state_fact
What is the total number of miles darius and julia drove?	state_fact
Isabel bought 900 pieces of paper.	transfer_money
She used 156 pieces of the paper.	use_resource
How many pieces of paper does she have left?	possess
Cindy had 41 pieces of candy.	possess
